date,hour,type,北京
20170101,0,PM2.5,425
20170101,1,PM2.5,401
20170101,2,PM2.5,388
20170101,3,PM2.5,380
20170101,4,PM2.5,379
20170101,5,PM2.5,398
20170101,6,PM2.5,397
20170101,7,PM2.5,396
20170101,8,PM2.5,395
20170101,9,PM2.5,399
20170101,10,PM2.5,418
20170101,11,PM2.5,450
20170101,12,PM2.5,495
20170101,15,PM2.5,505
20170101,16,PM2.5,500
20170101,18,PM2.5,487
20170101,19,PM2.5,475
20170101,21,PM2.5,449
20170101,22,PM2.5,437
20170102,3,PM2.5,322
20170102,5,PM2.5,161
20170102,6,PM2.5,86
20170102,7,PM2.5,57
20170102,8,PM2.5,46
20170102,9,PM2.5,52
20170102,10,PM2.5,68
20170102,11,PM2.5,101
20170102,12,PM2.5,159
20170102,13,PM2.5,179
20170102,14,PM2.5,176
20170102,15,PM2.5,205
20170102,16,PM2.5,211
20170102,17,PM2.5,213
20170102,18,PM2.5,195
20170102,19,PM2.5,192
20170102,20,PM2.5,182
20170102,21,PM2.5,193
20170102,22,PM2.5,213
20170102,23,PM2.5,222
20170103,0,PM2.5,244
20170103,1,PM2.5,264
20170103,2,PM2.5,271
20170103,3,PM2.5,264
20170103,4,PM2.5,253
20170103,5,PM2.5,254
20170103,6,PM2.5,252
20170103,7,PM2.5,240
20170103,8,PM2.5,219
20170103,9,PM2.5,221
20170103,10,PM2.5,223
20170103,11,PM2.5,221
20170103,12,PM2.5,228
20170103,13,PM2.5,221
20170103,14,PM2.5,217
20170103,15,PM2.5,245
20170103,16,PM2.5,295
20170103,17,PM2.5,314
20170103,18,PM2.5,347
20170103,19,PM2.5,381
20170103,20,PM2.5,421
20170103,21,PM2.5,462
20170103,22,PM2.5,465
20170103,23,PM2.5,443
20170104,0,PM2.5,462
20170104,1,PM2.5,482
20170104,2,PM2.5,471
20170104,3,PM2.5,456
20170104,4,PM2.5,444
20170104,5,PM2.5,424
20170104,6,PM2.5,393
20170104,7,PM2.5,357
20170104,8,PM2.5,282
20170104,9,PM2.5,254
20170104,10,PM2.5,285
20170104,11,PM2.5,278
20170104,12,PM2.5,277
20170104,13,PM2.5,205
20170104,14,PM2.5,231
20170104,15,PM2.5,280
20170104,16,PM2.5,284
20170104,17,PM2.5,312
20170104,18,PM2.5,304
20170104,19,PM2.5,341
20170104,20,PM2.5,371
20170104,21,PM2.5,376
20170104,22,PM2.5,364
20170104,23,PM2.5,330
20170105,0,PM2.5,264
20170105,1,PM2.5,229
20170105,2,PM2.5,214
20170105,3,PM2.5,218
20170105,4,PM2.5,239
20170105,5,PM2.5,276
20170105,6,PM2.5,309
20170105,7,PM2.5,288
20170105,8,PM2.5,267
20170105,9,PM2.5,267
20170105,10,PM2.5,267
20170105,11,PM2.5,272
20170105,12,PM2.5,264
20170105,13,PM2.5,208
20170105,14,PM2.5,200
20170105,15,PM2.5,180
20170105,16,PM2.5,155
20170105,17,PM2.5,157
20170105,18,PM2.5,162
20170105,19,PM2.5,178
20170105,20,PM2.5,201
20170105,21,PM2.5,183
20170105,22,PM2.5,193
20170105,23,PM2.5,187
20170106,0,PM2.5,184
20170106,1,PM2.5,183
20170106,2,PM2.5,178
20170106,3,PM2.5,186
20170106,4,PM2.5,180
20170106,5,PM2.5,173
20170106,6,PM2.5,166
20170106,7,PM2.5,170
20170106,8,PM2.5,173
20170106,9,PM2.5,180
20170106,10,PM2.5,202
20170106,11,PM2.5,201
20170106,12,PM2.5,204
20170106,13,PM2.5,185
20170106,14,PM2.5,194
20170106,15,PM2.5,204
20170106,16,PM2.5,204
20170106,17,PM2.5,205
20170106,18,PM2.5,204
20170106,19,PM2.5,210
20170106,20,PM2.5,212
20170106,21,PM2.5,216
20170106,22,PM2.5,222
20170106,23,PM2.5,222
20170107,0,PM2.5,221
20170107,1,PM2.5,220
20170107,2,PM2.5,220
20170107,3,PM2.5,210
20170107,4,PM2.5,214
20170107,5,PM2.5,215
20170107,6,PM2.5,199
20170107,7,PM2.5,192
20170107,8,PM2.5,191
20170107,9,PM2.5,188
20170107,10,PM2.5,187
20170107,11,PM2.5,184
20170107,12,PM2.5,187
20170107,13,PM2.5,166
20170107,14,PM2.5,139
20170107,15,PM2.5,115
20170107,16,PM2.5,106
20170107,17,PM2.5,107
20170107,18,PM2.5,103
20170107,19,PM2.5,110
20170107,20,PM2.5,117
20170107,21,PM2.5,121
20170107,22,PM2.5,125
20170107,23,PM2.5,139
20170108,0,PM2.5,133
20170108,1,PM2.5,113
20170108,2,PM2.5,72
20170108,3,PM2.5,43
20170108,4,PM2.5,31
20170108,5,PM2.5,22
20170108,6,PM2.5,21
20170108,7,PM2.5,19
20170108,8,PM2.5,20
20170108,9,PM2.5,23
20170108,10,PM2.5,23
20170108,11,PM2.5,24
20170108,12,PM2.5,26
20170108,13,PM2.5,29
20170108,14,PM2.5,30
20170108,15,PM2.5,38
20170108,16,PM2.5,47
20170108,17,PM2.5,43
20170108,18,PM2.5,41
20170108,19,PM2.5,40
20170108,20,PM2.5,17
20170108,21,PM2.5,11
20170108,22,PM2.5,10
20170108,23,PM2.5,10
20170109,0,PM2.5,11
